year,community_area,comm_pop,community,commarea_km2,other1,property1,public_order1,violent1,malepop,male15_19pop,male15_24pop,male15_29pop,allwhitepop,allblackpop
2022,35,21355.0,DOUGLAS,46.004621149279,195,1620,191,794,9885,781,2083,3425,3087,14742
2022,36,6977.0,OAKLAND,16.913961037490527,66,414,52,229,2713,293,432,509,504,6308
2022,37,2142.0,FULLER PARK,19.916704865338488,34,323,86,203,1017,87,167,225,220,1903
2022,38,24813.0,GRAND BOULEVARD,48.49250314605212,254,1938,280,970,10576,738,1179,2121,2043,22615
2022,39,18637.0,KENWOOD,29.071741922715727,115,1126,77,510,8678,484,1091,1938,4834,13031
2022,40,12366.0,WASHINGTON PARK,42.37388147613499,181,1125,178,768,5568,703,948,1250,473,11975
2022,41,29559.0,HYDE PARK,45.10538016450888,121,1525,48,444,13552,1077,3534,5471,16103,8850
2022,42,24645.0,WOODLAWN,57.81517950095547,200,1727,278,1048,11468,889,2216,3254,3442,19839
2022,43,54974.0,SOUTH SHORE,81.81271638009841,484,4448,603,2805,24074,983,2215,4215,2511,51831
2022,44,31341.0,CHATHAM,82.32067029535114,340,3420,394,1938,13718,764,1739,3322,1021,30440
2022,45,9647.0,AVALON PARK,34.852737729948345,89,671,85,335,4092,543,580,745,240,9239
2022,46,30315.0,SOUTH CHICAGO,93.2721849914544,326,2196,334,1554,13977,780,1761,2914,3832,23280
2022,47,2246.0,BURNSIDE,16.995983270423185,23,196,28,103,911,45,115,115,85,2162
2022,48,12087.0,CALUMET HEIGHTS,48.82624155505823,95,825,96,322,4789,208,399,703,338,11564
2022,49,37610.0,ROSELAND,134.31370670490057,399,3095,576,1889,17426,1049,2219,3826,1299,36533
2022,50,6856.0,PULLMAN,59.00155559069487,84,523,74,279,2665,80,277,606,1310,5412
2022,51,15218.0,SOUTH DEERING,303.79705960132867,109,968,159,545,6593,475,801,1544,3638,9778
2022,52,23942.0,EAST SIDE,83.24172803329057,106,573,84,402,11833,890,1931,2479,14738,708
2022,53,25449.0,WEST PULLMAN,99.36519806341394,257,1769,354,1026,11752,955,1893,2936,1832,23264
2022,54,7817.0,RIVERDALE,98.38949739579031,98,588,103,485,2822,214,503,825,231,7551
2022,55,9025.0,HEGEWISCH,145.96574140897752,61,327,22,208,4698,407,695,950,5657,1313
2022,56,36401.0,GARFIELD RIDGE,117.89077840626808,114,1199,189,454,18606,1268,2218,3228,27739,1475
2022,57,13867.0,ARCHER HEIGHTS,55.92250571042751,54,632,64,257,7451,742,1259,1798,9336,162
2022,58,42243.0,BRIGHTON PARK,75.89279029683405,147,1065,119,786,21652,998,2679,4995,21625,1239
2022,59,15479.0,MCKINLEY PARK,39.431799640295466,39,495,74,264,7701,506,1011,1733,6828,587
2022,60,33221.0,BRIDGEPORT,58.29151926539481,79,1008,99,377,17154,718,1687,3516,15805,1311
2022,61,41048.0,NEW CITY,134.6369632279751,229,1784,420,1379,20723,2117,3560,4706,17554,8937
2022,62,18366.0,WEST ELSDON,32.71109141959873,61,508,67,240,9165,557,1141,1978,11637,147
2022,63,34788.0,GAGE PARK,61.28489610145672,135,1049,130,656,17222,1391,2818,4380,19144,1810
2022,64,24728.0,CLEARING,71.14519236904174,97,607,40,264,12887,745,1589,2616,18114,536
2022,65,32594.0,WEST LAWN,82.3153016672832,94,1020,92,409,16225,1657,2995,4016,19810,1053
2022,66,52464.0,CHICAGO LAWN,98.27946509626284,346,2459,417,1622,25574,1867,4142,6167,18310,21058
2022,67,25772.0,WEST ENGLEWOOD,87.94769193108257,300,2252,537,1685,12435,1047,1955,2680,2115,20860
2022,68,21378.0,ENGLEWOOD,85.65232306609218,321,2125,456,1842,10159,886,1447,2264,1098,19752
2022,69,28991.0,GREATER GRAND CROSSING,98.85316769023828,367,3038,532,2037,12920,920,1713,2619,584,27796
2022,70,42745.0,ASHBURN,135.46033718240324,146,1155,90,611,20818,1727,3123,4583,14841,18926
2022,71,46468.0,AUBURN GRESHAM,105.06535358129682,455,3217,496,2151,20710,1150,2647,4353,1183,43916
2022,72,19781.0,BEVERLY,88.7793639211539,71,597,47,186,9454,469,1243,1662,12318,7215
2022,73,26456.0,WASHINGTON HEIGHTS,79.63575286171745,207,1709,198,831,11372,868,1746,2499,708,25712
2022,74,19121.0,MOUNT GREENWOOD,75.58429000631087,46,301,50,143,9556,762,1401,1784,18203,452
2022,75,20718.0,MORGAN PARK,91.877340681314,116,1024,137,507,9649,695,1136,1556,7423,13430
2022,76,13771.0,OHARE,371.8356076134321,92,954,454,343,7331,213,607,1363,9870,1326
2022,77,56099.0,EDGEWATER,48.449990830225794,137,1847,97,821,28608,1075,3086,6082,38705,8560
2023,1,54388.0,ROGERS PARK,51.25990244057384,302,2831,249,1269,26171,1390,3199,5249,31989,14450
2023,2,78227.0,WEST RIDGE,98.4290948429624,267,2523,174,1066,39244,3021,4978,7591,43090,11600
2023,3,57331.0,UPTOWN,65.09564271609112,206,2846,247,1314,29977,681,2335,6695,35982,12981
2023,4,41673.0,LINCOLN SQUARE,71.35232822594875,100,1435,108,575,19616,1040,1745,3518,32398,2222
2023,5,35408.0,NORTH CENTER,57.05416783863191,75,1100,56,267,17944,785,1405,2803,30865,1452
2023,6,101163.0,LAKE VIEW,87.21479925558447,225,4853,261,1229,51316,937,5918,16477,85581,6197
2023,7,67831.0,LINCOLN PARK,88.31640045539218,103,3085,154,597,32609,2110,5143,10971,58420,2929
2023,8,104712.0,NEAR NORTH SIDE,76.67589595801923,401,7410,919,2468,48458,885,4867,14799,77981,10501
2023,9,11203.0,EDISON PARK,31.63631378020181,44,171,13,66,5517,306,466,721,10263,202
2023,10,38566.0,NORWOOD PARK,121.95910544621267,134,759,56,334,18787,1123,2042,2711,33080,625
2023,11,26643.0,JEFFERSON PARK,64.86816166921948,79,729,51,287,13245,568,1322,2047,20311,991
2023,12,19517.0,FOREST GLEN,89.13089361873274,46,369,31,93,9526,365,744,1078,16346,303
2023,13,18742.0,NORTH PARK,70.28870642060181,60,563,41,269,8493,447,865,1423,10633,1076
