year,namelsad,tractpop,geoid,tractce,community_area,weight,comm_pop,pop_share,community,commarea_km2
2020,Census Tract 2211,4484.0,17031221100,221100,22,1.0,71247.0,0.062935983269471,LOGAN SQUARE,100.05756668057336
2020,Census Tract 2428,1637.0,17031242800,242800,24,1.0,84564.0,0.0193581192942623,WEST TOWN,127.56290457232984
2020,Census Tract 2429,1836.0,17031242900,242900,24,1.0,84564.0,0.0217113665389527,WEST TOWN,127.56290457232984
2020,Census Tract 2430,2134.0,17031243000,243000,24,1.0,84564.0,0.025235324724469,WEST TOWN,127.56290457232984
2020,Census Tract 2431,2230.0,17031243100,243100,24,1.0,84564.0,0.0263705595761789,WEST TOWN,127.56290457232984
2020,Census Tract 2432,2191.0,17031243200,243200,24,1.0,84564.0,0.0259093704176718,WEST TOWN,127.56290457232984
2020,Census Tract 2433,2261.0,17031243300,243300,24,1.0,84564.0,0.0267371458303769,WEST TOWN,127.56290457232984
2020,Census Tract 2434,2982.0,17031243400,243400,24,1.0,84564.0,0.0352632325812402,WEST TOWN,127.56290457232984
2020,Census Tract 714,4998.0,17031071400,71400,7,1.0,69568.0,0.0718433762649494,LINCOLN PARK,88.31640045539218
2020,Census Tract 1104,4480.0,17031110400,110400,11,1.0,27194.0,0.1647422225490917,JEFFERSON PARK,64.86816166921948
2020,Census Tract 1506,4384.0,17031150600,150600,15,1.0,63919.0,0.0685868051752999,PORTAGE PARK,110.19609711747748
2020,Census Tract 1507,4088.0,17031150700,150700,15,1.0,63919.0,0.0639559442419312,PORTAGE PARK,110.19609711747748
2020,Census Tract 1508,4871.0,17031150800,150800,15,1.0,63919.0,0.0762058229947277,PORTAGE PARK,110.19609711747748
2020,Census Tract 1511,5347.0,17031151100,151100,15,1.0,63919.0,0.0836527480091991,PORTAGE PARK,110.19609711747748
2020,Census Tract 1512,3890.0,17031151200,151200,15,1.0,63919.0,0.0608582737527182,PORTAGE PARK,110.19609711747748
2020,Census Tract 2415,2981.0,17031241500,241500,24,1.0,84564.0,0.0352514072182016,WEST TOWN,127.56290457232984
2020,Census Tract 2411,3441.0,17031241100,241100,24,1.0,84564.0,0.0406910742159784,WEST TOWN,127.56290457232984
2020,Census Tract 2416,3325.0,17031241600,241600,24,1.0,84564.0,0.0393193321034955,WEST TOWN,127.56290457232984
2020,Census Tract 2413,1982.0,17031241300,241300,24,1.0,84564.0,0.0234378695425949,WEST TOWN,127.56290457232984
2020,Census Tract 2414,5503.0,17031241400,241400,24,1.0,84564.0,0.065074972801665,WEST TOWN,127.56290457232984
